Current Reporting Period,ProjectCounter,ProjectUnitCounter,Duplicate,Entity,Sector,Product,Class,Channel,Status,ProjectCode,Municipality,State,Zip,County,CensusTract,Current MSA AMI Band,Vintage MSA AMI Band,Current MSA SMI Band,Vintage MSA SMI Band,Current Distressed,Vintage Distressed,ElectricUtility,Contractor,Lender,Market,ProjectType,Technology,RSIP Step,Bundle Type,SmarteBundle,SmarteNaturalGasSpecialOffer,SmarteHeatPumpSpecialOffer,SolarLeaseType,PropertyType,Food/Organic Waste (tons/yr),NumberOfMeasures,MultiMeasure,Square Footage,FundingSource,SF Record Type,OrphanStatus,PowerClerkNumber,PACENumber,MFHNumber,IRBRequestNumber,Solarize,RSIP System Financing Type,Resi Financing,SHREC,REC Type,Term,Rate,PPA Lease Price,Rate Type,ESA Opt In,ESA Price,Monthly ESA Cost,DTI,FICO Score,Credit Range,ReceivedDate,CYQtrReceived,CYReceived,FYQtrReceived,FYReceived,ApprovedDate,CYQtrApproved,CYApproved,FYQtrApproved,FYApproved,ClosedDate,CYQtrClosed,CYClosed,FYQtrClosed,FYClosed,CompletedDate,CYQtrCompleted,CYCompleted,FYQtrCompleted,FYCompleted,DecommissionedDate,TotalCapitalDeployed,AmountFinanced,LeaseFairMarketValue,ActualGrossCost,AdjustedGrossCost,CGBIncentiveAmount,CGBIncentiveAmount2,RSIPIncentiveAmount,OtherIncentiveAmount,IRBAmount,LLRAmount,SmarteLLRAmount,TotalLLRAmount,TotalCGBCreditEnhancements,GreenBankAdvanceRate,TotalCGBLoansLeases,TotalCGBInvestment,TotalCGBInvestment2,TotalPrivateInvestment,TotalPrivateInvestment2,TotalInvestment,TotalInvestment2,kW STC,MW,Watts,AnnualMMBTUSavedProduced,LifetimeMMBTUSavedProduced,AnnualCostSavings,LifetimeCostSavings,CalculatedAnnualMMBTUProducedSaved,CalculatedLifetimeMMBTUProducedSaved,CapacityFactor,ExpectedUsefulLife,ExpectedAnnualGeneration(kWh),ExpectedAnnualGeneration(MWh),ExpectedLifetimeGeneration(kWh),ExpectedLifetimeGeneration(MWh),Emission Rate Factor Helper,AnnualCO2EmissTonsPerMwh,AnnualNOXEmissLbsPerMwh,AnnualSO2EmissLbsPerMwh,AnnualPM2.5EmissLbsPerMwh,LifetimeCO2EmissTonsPerMwh,LifetimeNOXEmissLbsPerMwh,LifetimeSO2EmissLbsPerMwh,LifetimePM2.5EmissLbsPerMwh,AnnualVehiclesDriven,AnnualMilesDriven,AnnualGallonsGasoline,AnnualHomesEnergyUse,AnnualTreeSeedlings,AnnualAcresForests,LifetimeVehiclesDriven,LifetimeMilesDriven,LifetimeGallonsGasoline,LifetimeHomesEnergyUse,LifetimeTreeSeedlings,LifetimeAcresForests,JobsMethodHelper,DirectJobYears,IndirectInducedJobYears,TotalJobYears,AnnualPublicHealthLow,AnnualPublicHealthHigh,LifetimePublicHealthLow,LifetimePublicHealthHigh,IndividualIncomeTaxesGenerated,CorporateTaxesGenerated,SalesTaxesGenerated,TotalTaxRevenueGenerated,State House District,State Senate District,Congressional District,Opportunity Zone,USDA Rurality,MSA Vintage CRA AMI Band,MSA Vintage CRA SMI Band,ProgramSegment,RSIP Exclusions,ZREC kWh,ZREC MWh,Vintage MSA AMI Band Sort,MSA Vintage CRA AMI Band Sort,Vintage EJ Poverty Level,Vintage Vulnerable Community,Vulnerable Community Category,RaceEthnicityCategoryVintage,VintageEJCommunity,Scrubbed Contractor,Contractor Id,CRA Qualified,LMI Qualified,COG Name,Cost Membership,DOE_Justice40,SQL_Source,PropertyTaxesGenerated,LastModifiedDate,file_part
2025-10-07 18:16:31.893,1,1,No,CGB,Infrastructure,RSIP,PBI,NULL,Completed,RPV-30112,East Hartford,CT,6118,Hartford County,510900,120+,80-100,120+,80-100,Distressed,Distressed,Eversource,Sunnova,NULL,Residential,RE,PV,Step 11,NULL,NULL,NULL,NULL,None,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,RPV-30112,NULL,NULL,NULL,No,PPA,N/A,SHREC,SHREC T3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2017-12-21 00:00:00.000,Q4,2017,Q2,2018,2017-12-21 00:00:00.000,Q4,2017,Q2,2018,2017-12-21 00:00:00.000,Q4,2017,Q2,2018,2018-02-15 00:00:00.000,Q1,2018,Q3,2018,,18503.66,NULL,NULL,18503.66,18503.66,1316.56,1316.56,1316.56,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1316.56000,1316.56000,17187.10000,17187.10000,18503.66000,18503.66000,4.72000,0.0047200000,4720.00000,NULL,NULL,1198.80,29970.0000,18.339964,458.49910,0.130,25.00,5375.1360000,5.375136000000,134378.40,134.378400000000,2018PV,3.17133024,1.72004352,1.29003264,0.21500544,79.283256,43.001088,32.250816,5.375136,0.640215,7375.284480,323.729299,0.362597,47.571149,3.430853,16.005375,184382.112000,8093.232475,9.064925,1189.278725,85.771325,2016ResidentialPV,0.07000000000,0.09000000000,0.16000000000,104.277638,235.430957,2606.940960,5885.773920,386.32,497.51,0.00,883.83,State House District 10,State Senate District 3,CT1,Not Eligible,Not Eligible,80-120,80-120,Incentive,Include,0.021100000009999998,21.10000001,3,3,No,Vulnerable,"LMI,Distressed",Need to Fix,EJ Community,Sunnova,TBD,Not CRA,LMI,Capitol,No,Not Justice 40,v_RSIP_ALL_PROGRAMS_KPI,0.00,2025-10-07 18:16:31.893,4
2025-10-07 18:16:31.893,1,1,No,CGB,Infrastructure,RSIP,PBI,NULL,Completed,RPV-27296,East Haven,CT,6512,New Haven County,180200,60-80,80-100,60-80,60-80,Distressed,Distressed,Eversource,Sunrun,NULL,Residential,RE,PV,Step 10,NULL,NULL,NULL,NULL,None,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,RPV-27296,NULL,NULL,NULL,No,Lease,N/A,SHREC,SHREC T4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2017-07-10 00:00:00.000,Q3,2017,Q1,2018,2017-07-12 00:00:00.000,Q3,2017,Q1,2018,2017-07-12 00:00:00.000,Q3,2017,Q1,2018,2017-08-21 00:00:00.000,Q3,2017,Q1,2018,,14103.00,NULL,NULL,14103.00,14103.00,1287.00,1287.00,1287.00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1287.00000,1287.00000,12816.00000,12816.00000,14103.00000,14103.00000,6.67000,0.0066700000,6670.00000,NULL,NULL,1198.80,29970.0000,25.916856,647.92140,0.130,25.00,7595.7960000,7.595796000000,189894.90,189.894900000000,2017PV,4.48151964,2.81044452,2.27873880,0.30383184,112.037991,70.261113,56.968470,7.595796,0.904711,10422.277009,457.473395,0.512399,67.224484,4.848260,22.617775,260556.925225,11436.834875,12.809975,1680.612100,121.206500,2016ResidentialPV,0.06000000000,0.07000000000,0.13000000000,147.358442,332.695865,3683.961060,8317.396620,294.44,379.19,0.00,673.63,State House District 99,State Senate District 34,CT3,Not Eligible,Not Eligible,50-80,50-80,Incentive,Include,0.01460000001,14.600000009999999,3,2,No,Vulnerable,"LMI,CRA,Distressed",Need to Fix,EJ Community,Sunrun,TBD,CRA,LMI,South Central CT,No,Justice 40,v_RSIP_ALL_PROGRAMS_KPI,0.00,2025-10-07 18:16:31.893,4
2025-10-07 18:16:31.893,1,1,No,CGB,Infrastructure,RSIP,PBI,NULL,Completed,RPV-29509,Monroe,CT,6468,Fairfield County,100200,120+,120+,120+,120+,Not Distressed,Not Distressed,Eversource,Sunrun,NULL,Residential,RE,PV,Step 11,NULL,NULL,NULL,NULL,None,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,RPV-29509,NULL,NULL,NULL,No,PPA,N/A,SHREC,SHREC T3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2017-11-27 00:00:00.000,Q4,2017,Q2,2018,2017-11-28 00:00:00.000,Q4,2017,Q2,2018,2017-11-28 00:00:00.000,Q4,2017,Q2,2018,2018-05-25 00:00:00.000,Q2,2018,Q4,2018,,29326.00,NULL,NULL,29326.00,29326.00,2760.23,2760.23,2760.23,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2760.23000,2760.23000,26565.77000,26565.77000,29326.00000,29326.00000,10.15000,0.0101500000,10150.00000,NULL,NULL,1198.80,29970.0000,39.438694,985.96735,0.130,25.00,11558.8200000,11.558820000000,288970.50,288.970500000000,2018PV,6.81970380,3.69882240,2.77411680,0.46235280,170.492595,92.470560,69.352920,11.558820,1.376735,15859.986753,696.155166,0.779738,102.298128,7.377787,34.418375,396499.668825,17403.879150,19.493450,2557.453200,184.444675,2016ResidentialPV,0.11000000000,0.15000000000,0.26000000000,224.241108,506.276316,5606.027700,12656.907900,612.27,788.49,0.00,1400.76,State House District 112,State Senate District 21,CT4,Not Eligible,Eligible,80-120,80-120,Incentive,Include,0.020600000009999994,20.600000009999995,5,3,No,Not Vulnerable,None,Need to Fix,Not EJ Community,Sunrun,TBD,Not CRA,Not LMI,Greater Bridgeport,Yes,Not Justice 40,v_RSIP_ALL_PROGRAMS_KPI,0.00,2025-10-07 18:16:31.893,4
2025-10-07 18:16:31.893,1,1,No,CGB,Infrastructure,RSIP,PBI,NULL,Completed,RPV-27833,Bloomfield,CT,6002,Hartford County,471100,80-100,100-120,80-100,100-120,Not Distressed,Not Distressed,Eversource,Sunrun,NULL,Residential,RE,PV,Step 11,NULL,NULL,NULL,NULL,None,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,RPV-27833,NULL,NULL,NULL,No,PPA,N/A,SHREC,SHREC T2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2017-08-21 00:00:00.000,Q3,2017,Q1,2018,2017-08-22 00:00:00.000,Q3,2017,Q1,2018,2017-08-22 00:00:00.000,Q3,2017,Q1,2018,2017-12-05 00:00:00.000,Q4,2017,Q2,2018,,49520.00,NULL,NULL,49520.00,49520.00,2758.86,2758.86,2758.86,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2758.86000,2758.86000,46761.14000,46761.14000,49520.00000,49520.00000,12.26000,0.0122600000,12260.00000,NULL,NULL,1198.80,29970.0000,47.637279,1190.93199,0.130,25.00,13961.6880000,13.961688000000,349042.20,349.042200000000,2017PV,8.23739592,5.16582456,4.18850640,0.55846752,205.934898,129.145614,104.712660,13.961688,1.662933,19156.988926,840.873137,0.941831,123.564044,8.911495,41.573325,478924.723150,21021.828425,23.545775,3089.101100,222.787375,2016ResidentialPV,0.19000000000,0.25000000000,0.44000000000,270.856747,611.521934,6771.418680,15288.048360,1033.88,1331.44,0.00,2365.32,State House District 15,State Senate District 2,CT1,Not Eligible,Eligible,80-120,80-120,Incentive,Include,0.017000000010000006,17.000000010000004,4,3,No,Not Vulnerable,None,Need to Fix,Not EJ Community,Sunrun,TBD,Not CRA,Not LMI,Capitol,Yes,Not Justice 40,v_RSIP_ALL_PROGRAMS_KPI,0.00,2025-10-07 18:16:31.893,4
2025-10-07 18:16:31.893,1,1,No,CGB,Infrastructure,RSIP,PBI,NULL,Completed,RPV-26761,North Haven,CT,6473,New Haven County,167300,NULL,120+,NULL,120+,Not Distressed,Not Distressed,Eversource,SunPower Capital,NULL,Residential,RE,PV,Step 10,NULL,NULL,NULL,NULL,None,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,RPV-26761,NULL,NULL,NULL,No,Lease,N/A,SHREC,SHREC T4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2017-05-30 00:00:00.000,Q2,2017,Q4,2017,2017-06-01 00:00:00.000,Q2,2017,Q4,2017,2017-06-01 00:00:00.000,Q2,2017,Q4,2017,2017-09-08 00:00:00.000,Q3,2017,Q1,2018,,40424.30,NULL,NULL,40424.30,40424.30,1929.92,1929.92,1929.92,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1929.92000,1929.92000,38494.38000,38494.38000,40424.30000,40424.30000,9.66000,0.0096600000,9660.00000,NULL,NULL,1198.80,29970.0000,37.534757,938.36892,0.130,25.00,11000.8080000,11.000808000000,275020.20,275.020200000000,2017PV,6.49047672,4.07029896,3.30024240,0.44003232,162.261918,101.757474,82.506060,11.000808,1.310271,15094.332220,662.547675,0.742095,97.359598,7.021618,32.756775,377358.305500,16563.691875,18.552375,2433.989950,175.540450,2016ResidentialPV,0.16000000000,0.21000000000,0.37000000000,213.415675,481.835390,5335.391880,12045.884760,843.98,1086.89,0.00,1930.87,State House District 87,State Senate District 34,CT3,Not Eligible,Not Eligible,120+,120+,Incentive,Include,0.015100000010000003,15.100000010000002,5,4,No,Not Vulnerable,None,Need to Fix,Not EJ Community,Sunpower Corp,TBD,Not CRA,Not LMI,South Central CT,Yes,Not Justice 40,v_RSIP_ALL_PROGRAMS_KPI,0.00,2025-10-07 18:16:31.893,4
2025-10-07 18:16:31.893,1,1,No,CGB,Infrastructure,RSIP,PBI,NULL,Completed,RPV-21060,Oxford,CT,6478,New Haven County,346102,120+,120+,120+,120+,Not Distressed,Not Distressed,Eversource,Sunrun,NULL,Residential,RE,PV,Step 9,NULL,NULL,NULL,NULL,None,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,RPV-21060,NULL,NULL,NULL,No,PPA,N/A,SHREC,SHREC T1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2016-05-12 00:00:00.000,Q2,2016,Q4,2016,2016-05-20 00:00:00.000,Q2,2016,Q4,2016,2016-05-20 00:00:00.000,Q2,2016,Q4,2016,2016-09-07 00:00:00.000,Q3,2016,Q1,2017,,33150.00,NULL,NULL,33150.00,33150.00,2529.26,2529.26,2529.26,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2529.26000,2529.26000,30620.74000,30620.74000,33150.00000,33150.00000,7.80000,0.0078000000,7800.00000,NULL,NULL,1198.80,29970.0000,30.307568,757.68919,0.130,25.00,8882.6400000,8.882640000000,222066.00,222.066000000000,2016PV,5.06310480,5.24075760,3.64188240,0.44413200,126.577620,131.018940,91.047060,11.103300,1.022119,11774.818586,516.841591,0.578895,75.948481,5.477439,25.552975,294370.464650,12921.039775,14.472375,1898.712025,136.935975,2010ResidentialPV,0.20000000000,0.31000000000,0.51000000000,172.323216,389.059632,4308.080400,9726.490800,648.51,835.15,0.00,1483.66,State House District 131,State Senate District 32,CT4,Not Eligible,Eligible,120+,120+,Incentive,Include,0.024600000009999998,24.60000001,5,4,No,Not Vulnerable,None,Need to Fix,Not EJ Community,Sunrun,TBD,Not CRA,Not LMI,Naugatuck Valley,Yes,Not Justice 40,v_RSIP_ALL_PROGRAMS_KPI,0.00,2025-10-07 18:16:31.893,4
2025-10-07 18:16:31.893,1,1,No,CGB,Infrastructure,RSIP,PBI,NULL,Completed,RPV-26259,New London,CT,6320,New London County,690900,100-120,80-100,80-100,80-100,Distressed,Distressed,Eversource,Sunrun,NULL,Residential,RE,PV,Step 10,NULL,NULL,NULL,NULL,None,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,RPV-26259,NULL,NULL,NULL,No,Lease,N/A,SHREC,SHREC T2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2017-04-25 00:00:00.000,Q2,2017,Q4,2017,2017-05-01 00:00:00.000,Q2,2017,Q4,2017,2017-05-01 00:00:00.000,Q2,2017,Q4,2017,2017-06-28 00:00:00.000,Q2,2017,Q4,2017,,16840.88,NULL,NULL,16840.88,16840.88,1538.20,1538.20,1538.20,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1538.20000,1538.20000,15302.68000,15302.68000,16840.88000,16840.88000,5.70000,0.0057000000,5700.00000,NULL,NULL,1198.80,29970.0000,22.147838,553.69595,0.130,25.00,6491.1600000,6.491160000000,162279.00,162.279000000000,2017PV,3.82978440,2.40172920,1.94734800,0.25964640,95.744610,60.043230,48.683700,6.491160,0.773142,8906.593546,390.944280,0.437882,57.448210,4.143191,19.328550,222664.838650,9773.607000,10.947050,1436.205250,103.579775,2016ResidentialPV,0.07000000000,0.09000000000,0.16000000000,125.928504,284.312808,3148.212600,7107.820200,351.60,452.80,0.00,804.40,State House District 41,State Senate District 20,CT2,Not Eligible,Not Eligible,80-120,80-120,Incentive,Include,0.020400000009999995,20.400000009999996,3,3,No,Vulnerable,"LMI,Distressed",Need to Fix,EJ Community,Sunrun,TBD,Not CRA,LMI,Southeastern CT,No,Not Justice 40,v_RSIP_ALL_PROGRAMS_KPI,0.00,2025-10-07 18:16:31.893,4
2025-10-07 18:16:31.893,1,1,No,CGB,Infrastructure,RSIP,PBI,NULL,Completed,RPV-30116,Ledyard,CT,6339,New London County,701100,120+,120+,100-120,100-120,Not Distressed,Not Distressed,Eversource,Sunnova,NULL,Residential,RE,PV,Step 11,NULL,NULL,NULL,NULL,None,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,RPV-30116,NULL,NULL,NULL,No,PPA,N/A,SHREC,SHREC T3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2017-12-21 00:00:00.000,Q4,2017,Q2,2018,2017-12-22 00:00:00.000,Q4,2017,Q2,2018,2017-12-22 00:00:00.000,Q4,2017,Q2,2018,2018-03-06 00:00:00.000,Q1,2018,Q3,2018,,63880.17,NULL,NULL,63880.17,63880.17,4562.10,4562.10,4562.10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4562.10000,4562.10000,59318.07000,59318.07000,63880.17000,63880.17000,20.36000,0.0203600000,20360.00000,NULL,NULL,1198.80,29970.0000,79.110523,1977.76307,0.130,25.00,23185.9680000,23.185968000000,579649.20,579.649200000000,2018PV,13.67972112,7.41950976,5.56463232,0.92743872,341.993028,185.487744,139.115808,23.185968,2.761607,31813.727123,1396.425535,1.564085,205.200974,14.799187,69.040175,795343.178075,34910.638375,39.102125,5130.024350,369.979675,2016ResidentialPV,0.25000000000,0.33000000000,0.58000000000,449.807779,1015.545398,11245.194480,25388.634960,1333.69,1717.55,0.00,3051.24,State House District 42,State Senate District 19,CT2,Not Eligible,Eligible,80-120,80-120,Incentive,Include,0.017000000010000006,17.000000010000004,5,3,No,Not Vulnerable,None,Need to Fix,Not EJ Community,Sunnova,TBD,Not CRA,Not LMI,Southeastern CT,No,Not Justice 40,v_RSIP_ALL_PROGRAMS_KPI,0.00,2025-10-07 18:16:31.893,4
2025-10-07 18:16:31.893,1,1,No,CGB,Infrastructure,RSIP,PBI,NULL,Completed,RPV-29510,Milford,CT,6460,New Haven County,150900,120+,120+,120+,120+,Not Distressed,Not Distressed,United Illuminating,Sunrun,NULL,Residential,RE,PV,Step 11,NULL,NULL,NULL,NULL,None,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,RPV-29510,NULL,NULL,NULL,No,PPA,N/A,SHREC,SHREC T3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2017-11-27 00:00:00.000,Q4,2017,Q2,2018,2017-12-05 00:00:00.000,Q4,2017,Q2,2018,2017-12-05 00:00:00.000,Q4,2017,Q2,2018,2018-08-02 00:00:00.000,Q3,2018,Q1,2019,,17017.20,NULL,NULL,17017.20,17017.20,1611.68,1611.68,1611.68,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1611.68000,1611.68000,15405.52000,15405.52000,17017.20000,17017.20000,5.22000,0.0052200000,5220.00000,NULL,NULL,1198.80,29970.0000,20.282757,507.06892,0.130,25.00,5944.5360000,5.944536000000,148613.40,148.613400000000,2018PV,3.50727624,1.90225152,1.42668864,0.23778144,87.681906,47.556288,35.667216,5.944536,0.708035,8156.564616,358.022657,0.401008,52.610466,3.794291,17.700875,203914.115400,8950.566425,10.025200,1315.261650,94.857275,2016ResidentialPV,0.07000000000,0.09000000000,0.16000000000,115.323998,260.370677,2883.099960,6509.266920,355.29,457.54,0.00,812.83,State House District 119,State Senate District 14,CT3,Not Eligible,Not Eligible,120+,120+,Incentive,Include,0.023400000009999998,23.40000001,5,4,No,Not Vulnerable,None,Need to Fix,Not EJ Community,Sunrun,TBD,Not CRA,Not LMI,South Central CT,No,Not Justice 40,v_RSIP_ALL_PROGRAMS_KPI,0.00,2025-10-07 18:16:31.893,4
2025-10-07 18:16:31.893,1,1,No,CGB,Infrastructure,RSIP,PBI,NULL,Completed,RPV-20163,Meriden,CT,6450,New Haven County,171200,NULL,120+,NULL,120+,Distressed,Distressed,Eversource,Sunrun,NULL,Residential,RE,PV,Step 9,NULL,NULL,NULL,NULL,None,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,RPV-20163,NULL,NULL,NULL,No,PPA,N/A,SHREC,SHREC T2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2016-04-19 00:00:00.000,Q2,2016,Q4,2016,2016-04-22 00:00:00.000,Q2,2016,Q4,2016,2016-04-22 00:00:00.000,Q2,2016,Q4,2016,2016-08-24 00:00:00.000,Q3,2016,Q1,2017,,31824.00,NULL,NULL,31824.00,31824.00,2882.50,2882.50,2882.50,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2882.50000,2882.50000,28941.50000,28941.50000,31824.00000,31824.00000,9.36000,0.0093600000,9360.00000,NULL,NULL,1198.80,29970.0000,36.369081,909.22703,0.130,25.00,10659.1680000,10.659168000000,266479.20,266.479200000000,2016PV,6.07572576,6.28890912,4.37025888,0.53295840,151.893144,157.222728,109.256472,13.323960,1.226543,14129.782304,620.209909,0.694674,91.138177,6.572927,30.663575,353244.557600,15505.247725,17.366850,2278.454425,164.323175,2010ResidentialPV,0.19000000000,0.30000000000,0.49000000000,206.787859,466.871558,5169.696480,11671.788960,622.57,801.74,0.00,1424.31,State House District 82,State Senate District 13,CT5,Not Eligible,Not Eligible,80-120,80-120,Incentive,Include,0.02330000001,23.300000009999998,5,3,No,Vulnerable,Distressed,Need to Fix,EJ Community,Sunrun,TBD,Not CRA,Not LMI,South Central CT,No,Not Justice 40,v_RSIP_ALL_PROGRAMS_KPI,0.00,2025-10-07 18:16:31.893,4
2025-10-07 18:16:31.893,1,1,No,CGB,Infrastructure,RSIP,PBI,NULL,Completed,RPV-27834,Shelton,CT,6484,Fairfield County,110400,120+,100-120,120+,120+,Not Distressed,Not Distressed,United Illuminating,Sunrun,NULL,Residential,RE,PV,Step 11,NULL,NULL,NULL,NULL,None,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,RPV-27834,NULL,NULL,NULL,No,PPA,N/A,SHREC,SHREC T3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2017-08-21 00:00:00.000,Q3,2017,Q1,2018,2017-08-22 00:00:00.000,Q3,2017,Q1,2018,2017-08-22 00:00:00.000,Q3,2017,Q1,2018,2017-12-21 00:00:00.000,Q4,2017,Q2,2018,,37720.00,NULL,NULL,37720.00,37720.00,2154.98,2154.98,2154.98,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2154.98000,2154.98000,35565.02000,35565.02000,37720.00000,37720.00000,9.41000,0.0094100000,9410.00000,NULL,NULL,1198.80,29970.0000,36.563360,914.08401,0.130,25.00,10716.1080000,10.716108000000,267902.70,267.902700000000,2017PV,6.32250372,3.96495996,3.21483240,0.42864432,158.062593,99.123999,80.370810,10.716108,1.276362,14703.692152,645.400996,0.722890,94.839939,6.839899,31.909050,367592.303800,16135.024900,18.072250,2370.998475,170.997475,2016ResidentialPV,0.15000000000,0.19000000000,0.34000000000,207.892495,469.365530,5197.312380,11734.138260,787.52,1014.18,0.00,1801.70,State House District 122,State Senate District 21,CT4,Not Eligible,Not Eligible,80-120,80-120,Incentive,Include,0.017300000010000004,17.300000010000005,4,3,No,Not Vulnerable,None,Need to Fix,Not EJ Community,Sunrun,TBD,Not CRA,Not LMI,Naugatuck Valley,No,Not Justice 40,v_RSIP_ALL_PROGRAMS_KPI,0.00,2025-10-07 18:16:31.893,4
2025-10-07 18:16:31.893,1,1,No,CGB,Infrastructure,RSIP,PBI,NULL,Completed,RPV-26762,New Milford,CT,6776,Litchfield County,253100,60-80,80-100,60-80,80-100,Not Distressed,Not Distressed,Eversource,SunPower Capital,NULL,Residential,RE,PV,Step 10,NULL,NULL,NULL,NULL,None,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,RPV-26762,NULL,NULL,NULL,No,Lease,N/A,SHREC,SHREC T3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2017-05-30 00:00:00.000,Q2,2017,Q4,2017,2017-06-01 00:00:00.000,Q2,2017,Q4,2017,2017-06-01 00:00:00.000,Q2,2017,Q4,2017,2017-07-14 00:00:00.000,Q3,2017,Q1,2018,,80735.59,NULL,NULL,80735.59,80735.59,3711.20,3711.20,3711.20,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3711.20000,3711.20000,77024.39000,77024.39000,80735.59000,80735.59000,15.37000,0.0153700000,15370.00000,NULL,NULL,1198.80,29970.0000,59.721451,1493.03627,0.130,25.00,17503.3560000,17.503356000000,437583.90,437.583900000000,2017PV,10.32698004,6.47624172,5.25100680,0.70013424,258.174501,161.906043,131.275170,17.503356,2.084769,24016.551369,1054.177823,1.180746,154.908594,11.172078,52.119225,600413.784225,26354.445575,29.518650,3872.714850,279.301950,2016ResidentialPV,0.31000000000,0.41000000000,0.72000000000,339.565106,766.646993,8489.127660,19166.174820,1685.60,2170.74,0.00,3856.34,State House District 67,State Senate District 30,CT5,Not Eligible,Eligible,50-80,50-80,Incentive,Include,0.018300000010000005,18.300000010000005,3,2,Yes,Vulnerable,"LMI,CRA,EJ Poverty Level",Need to Fix,EJ Community,Sunpower Corp,TBD,CRA,LMI,Western CT,Yes,Not Justice 40,v_RSIP_ALL_PROGRAMS_KPI,0.00,2025-10-07 18:16:31.893,4
2025-10-07 18:16:31.893,1,1,No,CGB,Infrastructure,RSIP,PBI,NULL,Completed,RPV-27300,West Haven,CT,6516,New Haven County,154600,60-80,60-80,60-80,60-80,Distressed,Distressed,United Illuminating,Sunnova,NULL,Residential,RE,PV,Step 10,NULL,NULL,NULL,NULL,None,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,RPV-27300,NULL,NULL,NULL,No,PPA,N/A,SHREC,SHREC T4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2017-07-10 00:00:00.000,Q3,2017,Q1,2018,2017-07-24 00:00:00.000,Q3,2017,Q1,2018,2017-07-24 00:00:00.000,Q3,2017,Q1,2018,2017-09-21 00:00:00.000,Q3,2017,Q1,2018,,12351.27,NULL,NULL,12351.27,12351.27,939.63,939.63,939.63,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,939.63000,939.63000,11411.64000,11411.64000,12351.27000,12351.27000,3.48000,0.0034800000,3480.00000,NULL,NULL,1198.80,29970.0000,13.521838,338.04595,0.130,25.00,3963.0240000,3.963024000000,99075.60,99.075600000000,2017PV,2.33818416,1.46631888,1.18890720,0.15852096,58.454604,36.657972,29.722680,3.963024,0.472023,5437.709744,238.681771,0.267339,35.073644,2.529527,11.800575,135942.743600,5967.044275,6.683475,876.841100,63.238175,2016ResidentialPV,0.05000000000,0.06000000000,0.11000000000,76.882666,173.580451,1922.066640,4339.511280,257.87,332.09,0.00,589.96,State House District 115,State Senate District 10,CT3,Not Eligible,Not Eligible,80-120,80-120,Incentive,Include,0.020500000009999995,20.500000009999994,2,3,No,Vulnerable,"LMI,Distressed",Need to Fix,EJ Community,Sunnova,TBD,Not CRA,LMI,South Central CT,No,Justice 40,v_RSIP_ALL_PROGRAMS_KPI,0.00,2025-10-07 18:16:31.893,4
